DATAFLOW,LAST UPDATE,freq,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2006,22.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2007,22.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2008,22.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2009,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2010,23.1,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2011,23.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2012,22.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2013,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2014,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2015,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2016,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2017,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2018,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2019,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2020,23.1,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2021,22.9,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2022,23.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DE,2023,23.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2010,21.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2011,20.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2012,20.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2013,20.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2014,20.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2015,20.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2016,20.7,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2017,20.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2018,20.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2019,20.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2020,20.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2021,21.4,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2022,21.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,DK,2023,21.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2002,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2003,24.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2004,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2005,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2006,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2007,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2008,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2009,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2010,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2011,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2012,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2013,25.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2014,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2015,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2016,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2017,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2018,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2019,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2020,25.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2021,25.6,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2022,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EA20,2023,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2000,23.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2001,23.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2002,23.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2003,23.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2004,22.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2005,23.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2006,24.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2007,24.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2008,23.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2009,23.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2010,23.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2011,23.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2012,23.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2013,23.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2014,23.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2015,23.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2016,23.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2017,22.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2018,21.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2019,21.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2020,22.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2021,22.1,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2022,22.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EE,2023,22.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2000,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2001,26.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2002,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2003,26.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2004,26.0,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2005,26.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2006,26.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2007,27.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2008,27.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2009,26.8,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2010,26.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2011,27.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2012,27.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2013,27.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2014,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2015,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2016,27.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2017,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2018,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2019,27.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2020,28.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2021,29.6,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2022,29.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EL,2023,28.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2000,28.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2001,28.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2002,28.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2003,28.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2004,28.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2005,27.7,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2006,27.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2007,27.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2008,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2009,27.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2010,27.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2011,27.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2012,27.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2013,27.9,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2014,28.2,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2015,28.0,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2016,28.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2017,28.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2018,28.6,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2019,28.7,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2020,28.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2021,29.3,b
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2022,29.8,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,ES,2023,29.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2002,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2003,25.1,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2004,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2005,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2006,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2007,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2008,25.5,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2009,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2010,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2011,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2012,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2013,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2014,25.4,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2015,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2016,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2017,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2018,25.3,
ESTAT:YTH_DEMO_030(1.0),25/04/24 11:00:00,A,AVG,F,EU27_2020,2019,25.2,
